array,queries,results
67 13 48 29 93 50 93 25 44 40,8-8 | 7-7 | 8-8 | 8-9 | 2-5 | 3-9 | 0-3 | 0-9 | 0-9 | 9-9 | 7-8 | 3-7 | 4-9 | 8-8 | 3-9,44 25 44 40 29 25 13 13 13 40 25 25 25 44 25
4 29 71 83 50 63 61 54 71 68,8-9 | 1-7 | 0-8 | 9-9 | 0-8 | 3-6 | 0-9 | 0-1 | 9-9 | 2-8 | 2-6 | 9-9 | 3-9 | 8-8 | 3-5,68 29 4 68 4 50 4 4 68 50 50 68 50 71 50
95 1 88 17 60 98 41 46 28 97,9-9 | 4-5 | 6-6 | 1-8 | 8-9 | 5-6 | 1-2 | 9-9 | 1-6 | 0-9 | 9-9 | 3-6 | 4-6 | 4-5 | 2-9,97 60 41 1 28 41 1 97 1 1 97 17 41 60 17
27 91 42 97 2 28 7 16 54 2,2-2 | 0-9 | 9-9 | 5-5 | 3-8 | 8-8 | 9-9 | 6-9 | 3-5 | 3-4 | 2-2 | 7-8 | 3-3 | 3-5 | 5-8,42 2 2 28 2 54 2 2 2 2 42 16 97 2 7
61 20 11 77 67 15 12 12 85 77,2-6 | 7-9 | 9-9 | 0-3 | 6-8 | 8-9 | 5-5 | 6-9 | 8-8 | 2-3 | 6-6 | 5-6 | 3-4 | 6-7 | 3-8,11 12 77 11 12 77 15 12 85 11 12 12 67 12 12
88 84 26 43 86 96 50 69 86 82,5-9 | 2-6 | 3-8 | 9-9 | 0-7 | 8-9 | 7-8 | 8-8 | 5-9 | 9-9 | 2-8 | 0-8 | 5-7 | 9-9 | 3-9,50 26 43 82 26 82 69 86 50 82 26 26 50 82 43
68 1 73 82 93 62 19 38 42 52,8-8 | 3-7 | 8-9 | 2-3 | 2-8 | 0-3 | 5-7 | 6-7 | 2-5 | 1-2 | 8-9 | 5-8 | 1-5 | 5-8 | 2-2,42 19 42 73 19 1 19 19 62 1 42 19 1 19 73
87 28 22 11 55 73 73 91 30 34,9-9 | 0-8 | 1-2 | 7-8 | 2-2 | 4-8 | 1-4 | 9-9 | 1-8 | 6-6 | 7-9 | 3-8 | 3-4 | 0-6 | 9-9,34 11 22 30 22 30 11 34 11 73 30 11 11 11 34
10 98 2 13 62 90 84 47 94 49,0-7 | 4-5 | 9-9 | 1-8 | 5-5 | 6-6 | 9-9 | 3-7 | 0-1 | 4-9 | 5-9 | 8-9 | 0-7 | 7-7 | 8-9,2 62 49 2 90 84 49 13 10 47 47 49 2 47 49
64 100 95 15 62 11 46 20 80 43,7-9 | 4-5 | 2-3 | 0-8 | 3-4 | 3-5 | 8-9 | 8-9 | 7-7 | 1-9 | 9-9 | 0-9 | 7-8 | 9-9 | 8-8,20 11 15 11 15 11 43 43 20 11 43 11 20 43 80
3 2 19 16 34 23 5 96 98 31,5-8 | 4-4 | 5-5 | 5-9 | 5-9 | 9-9 | 4-8 | 7-9 | 8-8 | 3-7 | 8-8 | 5-8 | 1-4 | 1-7 | 8-9,5 34 23 5 5 31 5 31 98 5 98 5 2 2 31
51 76 75 91 73 4 89 32 84 91,5-6 | 6-9 | 1-9 | 9-9 | 7-8 | 5-7 | 9-9 | 7-8 | 9-9 | 6-9 | 7-8 | 8-9 | 1-9 | 3-4 | 9-9,4 32 4 91 32 4 91 32 91 32 32 84 4 73 91
86 95 34 86 21 21 83 27 32 70,0-2 | 8-9 | 1-5 | 1-8 | 4-7 | 3-4 | 8-9 | 0-1 | 2-4 | 3-5 | 1-7 | 1-9 | 7-7 | 8-8 | 2-6,34 32 21 21 21 21 32 86 21 21 21 21 27 32 21
81 86 59 44 100 98 24 9 77 78,4-9 | 8-9 | 4-9 | 2-5 | 1-2 | 6-9 | 4-8 | 5-5 | 8-9 | 5-5 | 0-1 | 5-7 | 5-9 | 5-8 | 6-9,9 77 9 44 59 9 9 98 77 98 81 9 9 9 9
68 45 4 82 43 87 26 22 2 100,4-8 | 9-9 | 5-7 | 2-4 | 8-8 | 8-9 | 6-9 | 1-3 | 9-9 | 3-9 | 5-6 | 5-7 | 5-5 | 3-9 | 9-9,2 100 22 4 2 2 2 4 100 2 26 22 87 2 100
78 71 24 87 1 61 21 82 48 51,9-9 | 0-0 | 9-9 | 4-5 | 3-6 | 9-9 | 6-6 | 8-9 | 4-5 | 4-7 | 2-6 | 7-7 | 4-7 | 0-4 | 5-8,51 78 51 1 1 51 21 48 1 1 1 82 1 1 21
53 78 63 100 14 6 36 75 92 41,5-7 | 4-9 | 7-8 | 7-7 | 9-9 | 4-4 | 4-7 | 2-7 | 0-0 | 7-7 | 5-9 | 2-9 | 0-6 | 9-9 | 5-9,6 6 75 75 41 14 6 6 53 75 6 6 6 41 6
2 48 54 91 38 40 49 93 14 82,6-8 | 9-9 | 0-1 | 6-6 | 3-4 | 6-7 | 1-5 | 0-6 | 0-8 | 0-0 | 0-9 | 2-5 | 3-5 | 9-9 | 8-8,14 82 2 49 38 49 38 2 2 2 2 38 38 82 14
89 51 89 16 23 22 19 80 78 36,0-6 | 0-8 | 9-9 | 2-8 | 8-9 | 1-6 | 5-5 | 5-9 | 1-8 | 4-6 | 5-7 | 7-8 | 5-6 | 7-8 | 4-5,16 16 36 16 36 16 22 19 16 19 19 78 19 78 22
20 82 58 70 13 89 3 82 62 82,4-8 | 9-9 | 5-5 | 1-4 | 2-7 | 9-9 | 8-8 | 8-9 | 5-7 | 1-6 | 3-8 | 0-6 | 6-9 | 4-6 | 0-5,3 82 89 13 3 82 62 62 3 3 3 3 3 3 13
41 90 97 59 75 74 29 92 53 69,5-8 | 8-9 | 7-9 | 5-6 | 2-5 | 6-8 | 6-7 | 7-8 | 7-7 | 6-8 | 4-6 | 9-9 | 7-9 | 8-9 | 4-7,29 53 53 29 59 29 29 53 92 29 29 69 53 53 29
10 64 27 71 37 97 7 9 46 78,8-9 | 9-9 | 9-9 | 8-8 | 0-3 | 2-4 | 8-9 | 5-9 | 3-9 | 8-9 | 9-9 | 7-8 | 3-7 | 4-4 | 4-9,46 78 78 46 10 27 46 7 7 46 78 9 7 37 7
47 83 79 14 65 27 95 97 63 26,1-7 | 1-2 | 5-5 | 4-6 | 2-8 | 2-5 | 4-4 | 2-5 | 9-9 | 5-5 | 6-9 | 4-7 | 0-7 | 0-4 | 1-3,14 79 27 27 14 14 65 14 26 27 26 27 14 14 14
64 63 74 74 28 58 25 57 41 85,2-2 | 6-7 | 8-9 | 7-8 | 7-7 | 9-9 | 6-8 | 2-2 | 6-6 | 5-7 | 2-2 | 6-8 | 3-7 | 5-6 | 2-4,74 25 41 41 57 85 25 74 25 25 74 25 25 25 28
27 88 21 21 23 43 65 97 88 14,7-8 | 7-9 | 4-9 | 7-8 | 7-8 | 6-7 | 4-7 | 8-8 | 9-9 | 7-8 | 0-9 | 8-8 | 4-8 | 3-7 | 8-9,88 14 14 88 88 65 23 88 14 88 14 88 23 21 14
21 7 80 24 7 56 37 27 12 70,6-9 | 2-5 | 9-9 | 8-9 | 3-7 | 4-7 | 0-3 | 2-6 | 9-9 | 1-8 | 5-5 | 7-7 | 3-4 | 8-9 | 2-7,12 7 70 12 7 7 7 7 70 7 56 27 7 12 7
47 47 90 86 59 83 17 24 37 86,9-9 | 7-9 | 4-5 | 8-9 | 2-8 | 1-3 | 5-7 | 3-6 | 8-9 | 2-9 | 1-5 | 3-3 | 3-9 | 4-7 | 8-8,86 24 59 37 17 47 17 17 37 17 47 86 17 17 37
26 39 2 6 87 79 72 70 48 17,9-9 | 2-7 | 3-8 | 3-6 | 5-5 | 4-8 | 8-9 | 0-6 | 6-7 | 5-5 | 2-2 | 0-8 | 8-8 | 8-9 | 4-4,17 2 6 6 79 48 17 2 70 79 2 2 48 17 87
16 83 81 70 58 37 52 54 26 9,0-6 | 8-8 | 3-6 | 9-9 | 9-9 | 0-7 | 1-5 | 7-7 | 3-5 | 1-4 | 0-3 | 0-9 | 0-3 | 5-5 | 7-9,16 26 37 9 9 16 37 54 37 58 16 9 16 37 9
4 2 72 53 5 3 12 18 22 34,4-5 | 6-7 | 5-5 | 9-9 | 8-8 | 6-8 | 6-6 | 0-5 | 2-7 | 9-9 | 7-8 | 3-3 | 6-9 | 2-3 | 3-3,3 12 3 34 22 12 12 2 3 34 18 53 12 53 53
71 67 21 98 32 48 98 30 25 49,8-8 | 4-7 | 3-4 | 2-8 | 1-1 | 5-9 | 9-9 | 5-5 | 1-1 | 6-6 | 6-7 | 7-7 | 8-9 | 5-8 | 2-4,25 30 32 21 67 25 49 48 67 98 30 30 25 25 21
4 18 94 45 2 27 89 69 48 40,7-8 | 1-2 | 7-9 | 0-5 | 3-5 | 0-4 | 7-7 | 8-8 | 4-8 | 7-9 | 2-2 | 8-8 | 7-9 | 0-3 | 3-3,48 18 40 2 2 2 69 48 2 40 94 48 40 4 45
91 77 50 15 2 92 60 84 35 10,9-9 | 0-0 | 9-9 | 8-9 | 8-9 | 5-8 | 4-8 | 7-9 | 9-9 | 9-9 | 2-6 | 5-8 | 7-9 | 8-8 | 8-8,10 91 10 10 10 35 2 10 10 10 2 35 10 35 35
89 53 48 55 49 26 39 55 37 4,0-9 | 3-4 | 8-8 | 9-9 | 7-9 | 2-8 | 7-7 | 0-0 | 8-8 | 9-9 | 3-5 | 7-9 | 1-3 | 1-9 | 3-6,4 49 37 4 4 26 55 89 37 4 26 4 48 4 26
67 26 23 6 38 39 86 72 67 82,0-5 | 2-7 | 3-9 | 6-9 | 6-8 | 3-5 | 1-9 | 3-8 | 6-6 | 4-7 | 3-4 | 6-8 | 2-2 | 7-7 | 8-8,6 6 6 67 67 6 6 6 86 38 6 67 23 72 67
45 68 31 90 64 2 64 82 24 36,4-4 | 7-9 | 6-9 | 5-5 | 9-9 | 5-5 | 4-9 | 5-6 | 0-7 | 4-5 | 6-6 | 6-9 | 8-9 | 1-8 | 4-4,64 24 24 2 36 2 2 2 2 2 64 24 24 2 64
51 3 88 31 40 36 15 1 98 41,4-7 | 0-5 | 6-8 | 8-8 | 4-6 | 7-9 | 8-9 | 9-9 | 7-8 | 4-8 | 0-7 | 4-4 | 4-9 | 7-7 | 8-9,1 3 1 98 15 1 41 41 1 1 1 40 1 1 41
87 73 43 38 23 93 2 51 87 31,6-6 | 4-7 | 0-8 | 9-9 | 8-8 | 4-4 | 3-5 | 2-5 | 9-9 | 5-5 | 1-2 | 0-3 | 0-1 | 0-0 | 3-4,2 2 2 31 87 23 23 23 31 93 43 38 73 87 23
36 69 30 85 10 5 64 64 17 92,3-3 | 8-9 | 9-9 | 7-9 | 0-3 | 2-2 | 8-9 | 2-7 | 4-6 | 2-8 | 9-9 | 1-1 | 2-5 | 9-9 | 4-4,85 17 92 17 30 30 17 5 5 5 92 69 5 92 10
1 68 54 65 42 22 95 50 94 16,3-6 | 7-9 | 4-8 | 5-9 | 6-6 | 0-7 | 4-6 | 1-4 | 6-7 | 2-9 | 4-6 | 5-8 | 4-8 | 5-5 | 9-9,22 16 22 16 95 1 22 42 50 16 22 22 22 22 16
3 47 56 20 51 6 81 30 20 15,2-4 | 6-7 | 8-8 | 6-9 | 5-8 | 6-7 | 1-1 | 6-6 | 9-9 | 5-9 | 2-3 | 3-9 | 8-9 | 7-8 | 4-7,20 30 20 15 6 30 47 81 15 6 20 6 15 20 6
32 70 86 3 79 79 90 77 17 38,3-6 | 1-1 | 1-3 | 0-6 | 1-3 | 1-5 | 2-3 | 7-8 | 5-7 | 7-9 | 9-9 | 5-6 | 7-8 | 1-2 | 2-8,3 70 3 3 3 3 3 17 77 17 38 79 17 70 3
51 93 20 46 30 11 48 54 9 1,1-8 | 4-6 | 7-9 | 8-8 | 6-7 | 0-4 | 2-5 | 6-9 | 1-4 | 6-7 | 6-7 | 0-6 | 5-7 | 0-1 | 3-7,9 11 1 9 48 20 11 1 20 48 48 11 11 51 11
3 57 76 66 58 14 22 30 67 35,5-9 | 3-3 | 1-3 | 7-9 | 2-2 | 5-5 | 2-2 | 9-9 | 9-9 | 0-5 | 4-6 | 3-3 | 5-8 | 0-8 | 7-9,14 66 57 30 76 14 76 35 35 3 14 66 14 3 30
69 8 50 25 80 11 92 55 9 10,4-9 | 7-8 | 9-9 | 6-7 | 7-9 | 6-6 | 6-6 | 6-9 | 3-9 | 5-5 | 3-7 | 1-6 | 3-5 | 1-3 | 6-8,9 9 10 55 9 92 92 9 9 11 11 8 11 8 9
10 11 69 85 79 87 82 65 75 97,9-9 | 6-9 | 3-6 | 5-6 | 6-9 | 8-8 | 4-8 | 9-9 | 4-4 | 6-8 | 2-2 | 3-3 | 2-2 | 8-8 | 0-8,97 65 79 82 65 75 65 97 79 65 69 85 69 75 10
25 41 53 9 15 4 81 33 11 39,5-5 | 5-8 | 5-7 | 3-5 | 1-2 | 5-9 | 0-8 | 2-3 | 7-8 | 4-4 | 5-5 | 3-3 | 9-9 | 1-6 | 5-5,4 4 4 4 41 4 4 9 11 15 4 9 39 4 4
15 45 99 83 97 53 78 62 64 36,2-9 | 6-9 | 5-8 | 5-5 | 4-8 | 4-8 | 4-4 | 9-9 | 9-9 | 8-8 | 0-8 | 3-7 | 1-2 | 0-8 | 0-5,36 36 53 53 53 53 97 36 36 64 15 53 45 15 15
41 28 28 44 23 70 36 70 49 2,9-9 | 3-6 | 7-9 | 5-7 | 9-9 | 8-8 | 1-4 | 7-8 | 8-9 | 5-8 | 8-9 | 7-8 | 9-9 | 2-2 | 6-8,2 23 2 36 2 49 23 49 2 36 2 49 2 28 36
36 33 54 22 31 14 20 63 10 49,2-5 | 1-2 | 8-8 | 1-9 | 3-9 | 9-9 | 9-9 | 0-6 | 6-9 | 4-4 | 8-8 | 8-9 | 9-9 | 1-9 | 2-2,14 33 10 10 10 49 49 14 10 31 10 10 49 10 54
20 53 42 12 30 52 64 85 19 14,5-9 | 3-6 | 5-6 | 2-5 | 2-5 | 6-8 | 1-7 | 5-8 | 7-7 | 1-2 | 9-9 | 5-8 | 4-9 | 2-8 | 8-8,14 12 52 12 12 19 12 19 85 42 14 19 14 12 19
61 18 33 80 48 14 3 64 31 26,6-8 | 6-9 | 0-2 | 6-9 | 9-9 | 1-9 | 1-9 | 2-3 | 6-8 | 9-9 | 6-6 | 7-8 | 6-8 | 2-2 | 8-9,3 3 18 3 26 3 3 33 3 26 3 31 3 33 26
62 97 1 44 57 50 54 55 26 40,9-9 | 0-8 | 9-9 | 1-5 | 7-9 | 5-7 | 3-4 | 7-9 | 8-8 | 8-9 | 7-8 | 2-7 | 3-3 | 4-5 | 2-8,40 1 40 1 26 50 44 26 26 26 26 1 44 50 1
98 15 93 86 55 62 7 60 68 93,5-7 | 8-9 | 0-4 | 8-8 | 6-7 | 5-9 | 6-8 | 6-9 | 1-3 | 1-9 | 2-8 | 5-6 | 4-5 | 7-7 | 8-9,7 68 15 68 7 7 7 7 15 7 7 7 55 60 68
15 30 26 100 16 1 31 87 84 99,1-5 | 6-6 | 9-9 | 4-7 | 9-9 | 5-5 | 3-7 | 1-7 | 4-7 | 1-7 | 5-6 | 2-4 | 0-0 | 9-9 | 7-9,1 31 99 1 99 1 1 1 1 1 1 16 15 99 84
38 71 45 28 53 3 47 13 99 20,2-5 | 8-8 | 8-9 | 7-8 | 5-6 | 2-4 | 3-5 | 6-7 | 8-8 | 4-9 | 8-9 | 4-9 | 0-7 | 5-8 | 1-2,3 99 20 13 3 28 3 13 99 3 20 3 3 3 45
35 34 47 91 65 100 75 16 52 95,1-5 | 0-6 | 1-1 | 9-9 | 1-4 | 6-8 | 4-5 | 7-9 | 2-8 | 9-9 | 8-8 | 9-9 | 2-3 | 6-6 | 6-9,34 34 34 95 34 16 65 16 16 95 52 95 47 75 16
66 17 25 8 65 24 26 56 26 5,1-8 | 3-5 | 8-8 | 3-6 | 6-6 | 3-7 | 3-3 | 6-9 | 3-8 | 0-6 | 5-5 | 2-6 | 4-8 | 2-8 | 7-7,8 8 26 8 26 8 8 5 8 8 24 8 24 8 56
88 68 35 14 7 33 55 70 97 83,9-9 | 7-9 | 3-9 | 8-8 | 5-8 | 5-5 | 6-9 | 7-9 | 2-6 | 6-7 | 8-8 | 4-6 | 0-1 | 4-8 | 9-9,83 70 7 97 33 33 55 70 7 55 97 7 68 7 83
89 73 13 60 2 34 33 13 82 10,6-8 | 5-5 | 5-6 | 9-9 | 9-9 | 1-2 | 0-6 | 1-8 | 2-9 | 6-7 | 6-8 | 2-7 | 5-9 | 5-6 | 4-6,13 34 33 10 10 13 2 2 2 13 13 2 10 33 2
21 82 71 57 40 78 33 82 68 78,4-5 | 0-3 | 6-8 | 7-8 | 6-6 | 4-5 | 9-9 | 6-8 | 2-5 | 5-5 | 8-8 | 9-9 | 2-7 | 2-2 | 3-9,40 21 33 68 33 40 78 33 40 78 68 78 33 71 33
6 98 23 1 20 79 95 74 68 98,6-8 | 4-8 | 1-6 | 2-7 | 9-9 | 7-7 | 3-7 | 5-8 | 1-2 | 1-3 | 2-9 | 7-7 | 0-4 | 9-9 | 6-7,68 20 1 1 98 74 1 68 23 1 1 74 1 98 74
90 11 82 46 4 14 17 46 40 24,9-9 | 4-4 | 6-8 | 8-9 | 3-5 | 3-6 | 5-8 | 3-6 | 1-8 | 6-9 | 0-3 | 5-7 | 1-8 | 5-8 | 4-6,24 4 17 24 4 4 14 4 4 17 11 14 4 14 4
82 4 54 53 28 19 50 64 30 61,6-8 | 1-4 | 8-9 | 2-4 | 1-2 | 8-9 | 7-8 | 6-9 | 3-5 | 8-8 | 7-9 | 6-9 | 0-8 | 4-7 | 0-4,30 4 30 28 4 30 30 30 19 30 30 30 4 19 4
95 46 92 88 97 45 48 78 91 39,1-9 | 2-6 | 9-9 | 6-8 | 1-6 | 5-7 | 7-9 | 5-7 | 9-9 | 0-8 | 0-9 | 5-8 | 9-9 | 1-5 | 0-2,39 45 39 48 45 45 39 45 39 45 39 45 39 45 46
37 29 28 69 7 36 36 63 93 27,8-8 | 4-5 | 1-6 | 4-6 | 3-6 | 7-9 | 8-8 | 1-3 | 2-8 | 0-4 | 9-9 | 1-6 | 6-8 | 8-9 | 1-8,93 7 7 7 7 27 93 28 7 7 27 7 36 27 7
28 21 88 26 38 16 51 64 99 31,8-8 | 3-3 | 0-9 | 0-0 | 5-5 | 3-3 | 3-5 | 6-6 | 2-8 | 1-8 | 4-5 | 0-2 | 8-9 | 6-7 | 3-9,99 26 16 28 16 26 16 51 16 16 16 21 31 51 16
52 46 84 49 58 22 64 32 76 13,6-6 | 2-2 | 6-9 | 3-9 | 9-9 | 3-8 | 3-8 | 4-8 | 5-6 | 3-3 | 3-9 | 6-7 | 7-8 | 9-9 | 2-2,64 84 13 13 13 22 22 22 22 49 13 32 32 13 84
41 65 74 23 58 39 7 66 61 76,2-3 | 9-9 | 7-8 | 1-8 | 5-9 | 3-8 | 7-9 | 7-7 | 2-3 | 8-8 | 3-6 | 4-7 | 6-7 | 8-8 | 7-8,23 76 61 7 7 7 61 66 23 61 7 7 7 61 61
53 59 33 63 9 32 78 25 56 86,2-7 | 8-9 | 9-9 | 4-7 | 4-6 | 8-9 | 5-5 | 0-7 | 4-8 | 8-9 | 7-8 | 8-9 | 8-8 | 3-8 | 7-8,9 56 86 9 9 56 32 9 9 56 25 56 56 9 25
34 32 95 48 8 20 100 20 72 46,0-9 | 3-4 | 7-9 | 1-4 | 5-7 | 4-5 | 3-4 | 1-9 | 1-4 | 4-4 | 2-2 | 1-4 | 0-4 | 8-9 | 5-7,8 8 20 8 20 8 8 8 8 8 95 8 8 46 20
3 44 59 9 3 35 15 7 79 92,7-7 | 5-6 | 5-5 | 2-5 | 9-9 | 3-8 | 6-6 | 7-9 | 4-8 | 8-9 | 3-9 | 0-9 | 3-7 | 5-8 | 9-9,7 15 35 3 92 3 15 7 3 79 3 3 3 7 92
25 16 90 55 96 98 58 23 12 37,7-7 | 5-5 | 4-6 | 3-8 | 9-9 | 5-8 | 8-8 | 6-9 | 6-9 | 3-5 | 2-3 | 7-7 | 0-6 | 1-7 | 9-9,23 98 58 12 37 12 12 12 12 55 55 23 16 16 37
20 9 64 5 78 20 31 39 7 26,2-7 | 4-6 | 5-9 | 9-9 | 6-7 | 0-8 | 1-1 | 9-9 | 5-8 | 3-4 | 2-2 | 4-9 | 1-7 | 1-4 | 0-0,5 20 7 26 31 5 9 26 7 5 64 7 5 5 20
60 76 25 26 56 57 10 50 13 84,9-9 | 5-5 | 0-5 | 6-8 | 8-8 | 6-9 | 1-2 | 4-6 | 2-8 | 0-3 | 1-5 | 3-7 | 9-9 | 6-6 | 1-8,84 57 25 10 13 10 25 10 10 25 25 10 84 10 10
92 78 53 1 79 73 62 70 43 54,8-8 | 5-8 | 3-3 | 2-7 | 2-5 | 9-9 | 2-5 | 8-8 | 8-9 | 2-4 | 1-8 | 7-8 | 6-8 | 6-8 | 2-3,43 43 1 1 1 54 1 43 43 1 1 43 43 43 1
3 40 16 13 10 80 4 86 37 56,2-6 | 6-8 | 9-9 | 1-8 | 1-7 | 8-9 | 9-9 | 3-3 | 7-7 | 0-3 | 6-7 | 0-8 | 2-4 | 6-8 | 4-7,4 4 56 4 4 37 56 13 86 3 4 3 10 4 4
14 21 17 50 71 41 100 39 61 44,9-9 | 6-7 | 5-5 | 9-9 | 4-6 | 8-9 | 4-6 | 9-9 | 2-8 | 0-7 | 0-3 | 7-8 | 3-6 | 8-8 | 6-8,44 39 41 44 41 44 41 44 17 14 14 39 41 61 39
21 20 87 5 74 82 85 94 4 14,5-8 | 6-8 | 8-8 | 2-3 | 4-8 | 3-9 | 5-8 | 4-8 | 6-7 | 1-5 | 9-9 | 9-9 | 8-9 | 3-5 | 5-6,4 4 4 5 4 4 4 4 85 5 14 14 4 5 82
49 73 56 86 74 59 41 28 26 28,4-4 | 1-2 | 6-9 | 7-7 | 8-9 | 4-9 | 2-4 | 7-8 | 3-5 | 7-9 | 6-6 | 3-4 | 4-7 | 8-8 | 3-8,74 56 26 28 26 26 56 26 59 26 41 74 28 26 26
50 28 18 44 5 75 53 68 31 67,1-1 | 9-9 | 7-9 | 2-4 | 7-7 | 4-8 | 1-8 | 9-9 | 1-8 | 6-8 | 2-3 | 1-6 | 7-7 | 3-9 | 2-3,28 67 31 5 68 5 5 67 5 31 18 5 68 5 18
88 26 6 83 10 11 9 64 21 46,6-6 | 8-9 | 0-6 | 3-8 | 2-4 | 6-8 | 3-3 | 2-6 | 3-4 | 6-7 | 7-7 | 4-7 | 6-9 | 6-9 | 4-7,9 21 6 9 6 9 83 6 10 9 64 9 9 9 9
92 87 34 55 37 83 11 95 84 50,4-8 | 3-7 | 5-9 | 6-9 | 8-9 | 9-9 | 1-2 | 7-7 | 9-9 | 0-2 | 0-8 | 8-8 | 6-7 | 8-9 | 3-6,11 11 11 11 50 50 34 95 50 34 11 84 11 50 11
8 5 57 51 26 82 98 88 48 71,7-8 | 1-6 | 6-9 | 1-8 | 8-8 | 0-1 | 3-6 | 7-7 | 1-2 | 0-7 | 6-9 | 5-7 | 6-9 | 1-2 | 2-5,48 5 48 5 48 5 26 88 5 5 48 82 48 5 26
13 38 35 1 89 57 15 9 27 80,3-7 | 0-5 | 7-9 | 2-4 | 4-5 | 0-1 | 8-8 | 7-9 | 5-7 | 4-7 | 0-2 | 1-5 | 9-9 | 2-8 | 6-7,1 1 9 1 57 13 27 9 9 9 13 1 80 1 9
53 63 44 97 71 11 50 37 25 2,7-8 | 4-9 | 4-6 | 1-1 | 1-6 | 5-8 | 4-9 | 5-9 | 3-9 | 4-4 | 8-8 | 6-6 | 9-9 | 1-1 | 2-8,25 2 11 63 11 11 2 2 2 71 25 50 2 63 11
85 63 44 57 31 55 57 26 62 96,3-7 | 1-1 | 1-5 | 5-5 | 6-8 | 9-9 | 2-7 | 3-5 | 3-8 | 3-8 | 3-8 | 8-9 | 4-5 | 4-4 | 0-9,26 63 31 55 26 96 26 31 26 26 26 62 31 31 26
48 11 20 63 25 20 48 63 88 94,3-9 | 9-9 | 7-9 | 9-9 | 5-7 | 9-9 | 6-7 | 6-9 | 1-2 | 2-7 | 7-9 | 6-9 | 3-3 | 2-5 | 0-4,20 94 63 94 20 94 48 48 11 20 63 48 63 20 11
37 26 83 1 87 72 6 48 1 9,0-3 | 4-4 | 8-8 | 2-2 | 8-9 | 6-7 | 4-9 | 5-8 | 3-4 | 7-7 | 0-6 | 1-3 | 6-7 | 6-9 | 7-9,1 87 1 83 1 6 1 1 1 48 1 1 6 1 1
11 34 47 38 41 84 88 99 7 17,6-8 | 1-4 | 2-4 | 4-6 | 2-4 | 0-4 | 9-9 | 9-9 | 1-5 | 0-6 | 4-8 | 6-8 | 2-5 | 1-6 | 3-3,7 34 38 41 38 11 17 17 34 11 7 7 38 34 38
22 90 85 5 62 48 30 32 93 51,2-9 | 3-4 | 8-8 | 7-8 | 3-4 | 8-8 | 7-9 | 3-8 | 4-7 | 4-5 | 2-4 | 4-8 | 5-5 | 1-3 | 9-9,5 5 93 32 5 93 32 5 30 48 5 30 48 5 51
74 43 45 98 44 64 86 65 56 71,8-9 | 5-5 | 5-8 | 4-7 | 8-8 | 8-9 | 8-8 | 9-9 | 6-6 | 8-9 | 6-8 | 9-9 | 7-7 | 1-5 | 3-4,56 64 56 44 56 56 56 71 86 56 56 71 65 43 44
37 53 88 75 15 39 2 3 18 72,1-3 | 1-4 | 9-9 | 3-4 | 3-5 | 5-7 | 0-9 | 6-6 | 0-3 | 7-7 | 4-7 | 7-9 | 9-9 | 9-9 | 9-9,53 15 72 15 15 2 2 2 37 3 2 3 72 72 72
84 20 7 80 26 55 71 93 11 57,2-8 | 6-7 | 4-5 | 2-2 | 9-9 | 3-4 | 7-7 | 0-7 | 4-4 | 9-9 | 2-6 | 2-7 | 9-9 | 7-7 | 1-3,7 71 26 7 57 26 93 7 26 57 7 7 57 93 7
80 45 53 27 2 76 37 30 33 48,8-9 | 1-4 | 2-2 | 4-5 | 1-9 | 4-8 | 9-9 | 8-9 | 0-4 | 5-8 | 1-4 | 8-8 | 1-1 | 1-4 | 2-8,33 2 53 2 2 2 48 33 2 30 2 33 45 2 2
58 5 17 56 33 26 97 63 13 88,6-8 | 6-9 | 2-9 | 0-0 | 5-5 | 9-9 | 3-4 | 8-8 | 8-8 | 7-9 | 6-9 | 1-8 | 9-9 | 9-9 | 2-9,13 13 13 58 26 88 33 13 13 13 13 5 88 88 13
45 47 56 70 2 64 31 80 58 15,6-9 | 1-7 | 6-6 | 9-9 | 5-9 | 2-5 | 9-9 | 8-9 | 9-9 | 2-7 | 1-5 | 3-9 | 0-7 | 4-4 | 9-9,15 2 31 15 15 2 15 15 15 2 2 2 2 2 15
84 44 47 24 6 53 85 50 98 82,5-9 | 1-8 | 4-4 | 6-7 | 8-8 | 9-9 | 7-7 | 9-9 | 2-7 | 2-3 | 7-9 | 2-4 | 8-9 | 8-8 | 9-9,50 6 6 50 98 82 50 82 6 24 50 6 82 98 82
54 13 57 74 66 35 17 54 14 49,6-6 | 4-4 | 3-8 | 1-2 | 1-6 | 1-9 | 2-5 | 6-9 | 3-5 | 4-8 | 4-7 | 9-9 | 0-5 | 6-8 | 1-6,17 66 14 13 13 13 35 14 35 14 17 49 13 14 13
81 57 93 32 12 32 3 93 37 72,0-3 | 8-9 | 9-9 | 5-7 | 6-6 | 1-7 | 1-6 | 1-1 | 9-9 | 1-9 | 3-7 | 1-4 | 5-8 | 7-8 | 1-2,32 37 72 3 3 3 3 57 72 3 3 12 3 37 57
34 95 87 8 60 65 43 64 3 72,3-4 | 8-8 | 3-4 | 9-9 | 9-9 | 2-6 | 6-6 | 8-9 | 6-9 | 0-9 | 5-6 | 5-9 | 5-5 | 4-7 | 1-6,8 3 8 72 72 8 43 3 3 3 43 3 65 43 8
