initial_array,operations,results
16 98 34 27 7 58 26 59 98 14,update-6-14 | update-7-68 | update-2-66 | update-9-48 | update-9-80 | update-2-18 | query-6-10 | query-3-7 | query-3-9 | update-6-77 | update-6-61 | update-10-85 | query-4-8 | update-9-51 | update-7-64,None None None None None None 465 234 519 None None None 397 None None
31 61 36 63 60 45 54 68 28 37,update-4-82 | update-10-29 | query-2-6 | update-10-23 | query-3-3 | query-1-10 | query-6-7 | update-4-38 | query-4-9 | query-7-10 | query-1-9 | query-4-5 | query-1-3 | update-2-91 | update-3-15,None None 347 None 36 617 99 None 438 239 566 243 128 None None
18 13 68 57 60 88 53 33 76 29,update-5-49 | update-6-2 | update-10-6 | query-8-10 | query-7-7 | update-5-91 | query-1-1 | update-5-65 | query-9-10 | query-2-7 | update-6-46 | update-10-47 | update-6-42 | update-1-40 | query-6-6,None None None 144 53 None 18 None 111 546 None None None None 178
90 45 31 42 82 20 20 84 64 99,update-10-14 | query-4-5 | update-10-12 | update-5-15 | query-10-10 | update-6-23 | query-7-9 | query-7-7 | query-5-10 | update-3-64 | query-10-10 | update-5-53 | query-3-10 | update-3-97 | update-6-62,None 124 None None 125 None 168 20 433 None 125 None 623 None None
12 62 69 92 15 29 56 41 19 85,query-8-9 | query-5-10 | update-6-46 | update-7-54 | update-10-62 | update-2-5 | update-4-27 | update-5-47 | query-3-4 | update-8-3 | update-8-48 | update-1-91 | query-5-6 | query-5-10 | query-1-6,60 245 None None None None None None 188 None None None 137 505 495
68 29 15 48 9 53 98 68 53 34,update-9-96 | query-4-4 | query-10-10 | update-8-62 | query-5-5 | update-10-60 | update-2-22 | update-2-63 | query-3-9 | update-5-43 | update-8-41 | query-3-8 | update-9-43 | query-8-8 | update-7-66,None 48 34 None 9 None None None 502 None None 437 None 171 None
43 11 65 48 74 42 3 88 67 26,update-4-12 | update-6-82 | update-7-64 | query-3-10 | update-8-50 | query-7-10 | query-3-5 | query-3-6 | update-1-74 | update-7-100 | query-8-9 | update-5-3 | query-8-10 | query-2-3 | query-6-9,None None None 571 None 298 199 323 None None 205 None 231 76 496
58 76 13 51 17 24 34 3 51 88,update-5-10 | query-1-10 | update-2-56 | update-2-50 | query-3-7 | update-10-15 | update-10-22 | update-3-32 | update-9-47 | query-5-6 | query-8-8 | query-1-9 | query-7-8 | query-9-9 | query-3-8,None 425 None None 149 None None None None 51 3 522 37 98 184
11 10 14 17 37 46 47 1 65 99,query-8-9 | query-8-9 | query-5-8 | query-4-6 | query-6-8 | query-9-10 | update-4-19 | query-7-8 | update-6-91 | query-10-10 | update-2-31 | query-7-9 | query-2-2 | update-2-48 | update-10-69,66 66 131 100 94 164 None 48 None 99 None 113 41 None None
29 18 3 50 9 3 48 45 90 87,update-6-28 | query-9-10 | query-10-10 | update-8-97 | update-8-88 | update-6-2 | update-4-3 | update-6-93 | query-5-10 | query-7-10 | update-7-95 | query-1-5 | update-6-50 | query-7-10 | update-4-76,None 177 87 None None None None None 590 455 None 112 None 550 None
73 100 7 16 39 92 23 47 40 77,update-10-95 | query-4-7 | query-10-10 | query-10-10 | update-2-62 | query-6-10 | update-2-60 | query-2-6 | update-1-26 | update-2-61 | update-6-86 | query-7-7 | update-9-29 | update-4-57 | update-3-94,None 170 172 172 None 374 None 376 None None None 23 None None None
68 34 54 55 65 79 38 92 5 50,update-9-10 | update-1-41 | update-7-56 | update-5-80 | update-8-1 | query-8-9 | update-1-55 | update-8-69 | update-2-49 | query-10-10 | update-9-92 | update-8-40 | update-10-63 | update-7-41 | query-5-5,None None None None None 108 None None None 50 None None None None 145
94 65 90 78 58 5 7 23 3 8,query-2-6 | query-8-9 | query-5-6 | query-10-10 | query-1-6 | query-6-10 | update-8-15 | query-6-6 | update-2-49 | query-6-10 | update-4-91 | query-5-5 | query-2-2 | update-2-52 | query-3-4,296 26 63 8 390 46 None 5 None 61 None 58 114 None 259
65 92 24 13 14 37 39 96 14 19,query-8-8 | query-2-10 | query-1-10 | query-7-8 | update-9-96 | query-7-9 | update-8-54 | query-3-5 | query-10-10 | update-9-80 | query-10-10 | update-7-87 | update-3-19 | query-8-9 | query-4-9,96 348 413 135 None 245 None 51 19 None 19 None None 340 530
39 47 97 57 30 39 55 29 56 65,update-3-81 | query-9-10 | update-10-72 | update-4-62 | update-5-59 | update-3-79 | update-4-70 | query-9-9 | update-6-8 | update-9-50 | update-2-4 | query-4-7 | query-6-6 | update-9-59 | query-1-10,None 121 None None None None None 56 None None None 380 47 None 1058
47 36 91 81 84 75 73 37 44 7,query-3-7 | update-9-51 | query-7-8 | query-9-10 | query-1-10 | update-7-25 | update-7-71 | query-9-9 | update-6-86 | update-5-39 | update-2-58 | update-1-53 | query-9-9 | update-3-22 | query-5-6,404 None 110 102 626 None None 95 None None None None 95 None 284
50 45 46 92 65 40 20 4 10 94,update-7-83 | update-3-40 | update-9-4 | query-1-6 | update-3-88 | query-4-6 | query-4-6 | query-2-5 | query-9-10 | update-7-48 | query-1-7 | query-3-10 | query-5-6 | update-7-66 | update-2-90,None None None 378 None 197 197 376 108 None 617 634 105 None None
21 12 14 65 77 55 96 35 60 12,update-7-97 | update-9-19 | update-7-71 | update-4-28 | query-5-9 | query-2-9 | query-10-10 | query-9-9 | query-1-3 | query-1-3 | query-10-10 | query-1-2 | query-9-10 | query-7-8 | update-4-8,None None None None 510 629 12 79 47 47 12 33 91 299 None
72 69 41 51 58 32 38 34 76 78,query-3-6 | update-1-80 | query-9-10 | update-8-36 | update-9-44 | query-3-3 | update-9-8 | query-4-8 | update-10-54 | query-3-10 | query-7-7 | query-4-6 | update-9-95 | query-10-10 | update-5-82,182 None 154 None None 41 None 249 None 550 38 141 None 132 None
63 65 27 62 67 27 59 90 52 67,update-6-57 | query-8-8 | query-1-4 | update-4-10 | query-2-9 | update-5-43 | query-2-8 | update-4-37 | query-4-7 | query-2-10 | query-2-4 | update-8-1 | update-5-64 | query-6-10 | query-8-9,None 90 217 None 516 None 507 None 362 663 201 None None 353 143
34 75 23 12 85 48 64 84 53 65,update-10-96 | query-4-8 | query-8-9 | query-8-10 | query-3-5 | query-9-9 | update-8-43 | update-8-36 | query-5-8 | update-5-43 | update-3-56 | update-3-7 | update-8-72 | query-2-9 | query-9-9,None 293 137 298 120 53 None None 360 None None None None 701 53
24 13 69 21 58 49 31 12 72 35,query-5-7 | update-4-45 | update-10-92 | query-4-7 | query-9-10 | update-3-17 | query-5-8 | update-9-2 | update-10-24 | query-8-10 | update-2-19 | query-10-10 | update-10-70 | update-3-19 | query-3-7,138 None None 204 199 None 150 None None 237 None 151 None None 309
45 96 6 73 99 18 65 66 3 94,query-5-6 | query-3-7 | query-3-9 | query-5-7 | query-9-10 | update-7-26 | query-8-8 | query-10-10 | update-10-49 | query-10-10 | update-9-25 | query-8-9 | update-2-91 | query-6-6 | update-6-3,117 261 330 182 97 None 66 94 None 143 None 94 None 18 None
85 42 99 88 62 75 58 100 40 27,update-5-97 | update-7-100 | query-1-10 | update-2-60 | update-3-1 | query-3-8 | update-10-80 | query-6-8 | update-3-67 | query-4-5 | query-6-9 | query-5-8 | query-10-10 | query-4-8 | query-6-8,None None 873 None None 680 None 333 None 247 373 492 107 580 333
45 46 2 36 89 62 45 58 3 18,query-10-10 | update-10-97 | update-10-64 | query-3-9 | query-8-10 | query-5-9 | query-3-6 | update-9-63 | query-4-6 | update-7-98 | query-2-4 | query-3-5 | query-3-4 | query-6-8 | update-5-32,18 None None 295 240 257 189 None 187 None 84 127 38 263 None
57 27 16 78 17 78 21 68 76 85,query-2-2 | query-2-8 | update-6-11 | query-9-10 | update-8-40 | query-6-10 | update-8-82 | query-9-9 | query-2-7 | query-3-5 | query-1-8 | update-2-42 | update-7-56 | update-10-58 | update-7-96,27 305 None 161 None 379 None 76 248 111 495 None None None None
90 35 31 83 59 41 91 58 16 44,update-6-78 | query-10-10 | query-3-9 | update-8-30 | query-3-9 | query-3-7 | query-8-9 | update-10-71 | query-4-6 | query-4-10 | update-5-35 | update-6-26 | query-2-5 | query-4-4 | update-5-37,None 44 457 None 487 383 104 None 261 571 None None 243 83 None
83 78 83 5 87 9 40 9 71 24,update-8-15 | query-9-10 | query-7-9 | query-2-7 | update-8-33 | update-2-7 | update-4-55 | query-7-9 | update-4-81 | query-2-9 | query-8-8 | update-7-63 | query-4-9 | query-5-7 | query-4-10,None 95 135 302 None None None 168 None 573 57 None 468 199 492
31 54 54 24 14 80 49 95 84 55,update-6-38 | query-9-10 | update-1-87 | update-6-67 | query-10-10 | update-2-89 | update-7-91 | query-10-10 | query-7-7 | update-1-77 | query-7-9 | query-4-7 | query-1-5 | update-2-8 | query-4-9,None 139 None None 55 None None 55 140 None 319 363 430 None 542
42 10 22 62 60 81 13 43 82 95,query-8-10 | query-5-9 | update-2-91 | update-10-32 | update-9-51 | query-6-8 | update-2-19 | query-9-9 | query-10-10 | update-3-10 | update-6-57 | query-9-10 | query-3-10 | query-7-8 | query-7-8,220 279 None None None 137 None 133 127 None None 260 608 56 56
1 24 39 69 87 12 57 93 29 75,update-1-19 | query-9-10 | query-2-10 | update-7-4 | update-9-94 | query-5-9 | update-9-51 | query-7-8 | query-9-9 | query-4-4 | update-6-2 | query-3-5 | update-3-55 | update-10-61 | query-4-9,None 104 485 None None 376 None 154 174 69 None 195 None None 498
80 75 46 22 12 42 27 38 51 49,update-9-30 | update-7-2 | query-3-10 | query-7-7 | update-8-60 | update-6-60 | update-7-55 | query-7-8 | update-10-6 | query-10-10 | update-4-77 | update-5-62 | query-1-4 | query-1-4 | query-1-6,None None 319 29 None None None 182 None 55 None None 300 300 476
42 58 99 67 31 71 46 75 17 8,update-4-37 | update-3-73 | query-5-6 | query-1-10 | update-4-45 | update-8-88 | update-7-31 | update-4-81 | query-9-9 | query-7-9 | update-9-64 | update-7-97 | update-7-64 | update-3-19 | query-1-4,None None 102 624 None None None None 17 257 None None None None 521
15 71 65 31 49 12 68 83 56 84,query-5-5 | query-2-9 | query-7-8 | update-7-68 | update-3-73 | query-8-8 | query-3-9 | update-1-28 | update-2-4 | update-5-51 | query-5-9 | query-2-10 | update-4-78 | query-4-7 | query-1-1,49 435 151 None None 83 505 None None None 387 715 None 357 43
16 47 51 47 82 7 18 32 96 37,query-2-9 | update-4-64 | update-10-71 | query-5-7 | update-7-12 | query-4-8 | query-8-8 | query-10-10 | query-4-10 | query-4-8 | update-7-10 | query-1-6 | query-5-7 | query-6-7 | update-9-62,380 None None 107 None 262 32 108 466 262 None 314 129 47 None
70 44 2 21 4 73 71 25 4 29,query-5-6 | update-3-75 | update-2-93 | update-10-20 | update-6-5 | update-9-9 | query-8-9 | query-9-9 | update-4-56 | update-3-67 | update-9-17 | update-8-97 | query-3-5 | update-5-35 | update-7-55,77 None None None None None 38 13 None None None None 225 None None
77 23 98 96 76 21 22 33 3 73,query-5-9 | query-5-10 | query-3-4 | query-3-9 | update-1-9 | query-5-8 | update-3-69 | update-5-87 | query-2-3 | query-5-7 | update-1-80 | query-10-10 | query-9-10 | update-7-82 | update-9-46,155 228 194 349 None 152 None None 190 206 None 73 76 None None
61 2 17 18 51 76 39 78 65 90,update-6-34 | query-3-4 | update-4-84 | update-1-78 | update-3-62 | query-8-10 | query-10-10 | update-3-91 | update-3-80 | update-7-35 | query-10-10 | query-7-8 | query-3-10 | query-3-9 | update-10-25,None 35 None None None 233 90 None None None 90 152 820 730 None
66 64 85 59 23 7 11 8 65 29,update-3-4 | update-9-39 | update-9-78 | update-4-87 | update-9-48 | query-1-7 | update-5-2 | update-3-94 | update-3-37 | query-9-9 | query-10-10 | query-6-7 | query-2-9 | query-6-6 | query-2-4,None None None None None 406 None None None 230 29 18 711 7 430
4 15 67 88 57 39 24 11 42 4,query-6-7 | query-2-8 | update-9-62 | query-2-3 | update-10-19 | query-3-5 | update-10-19 | query-3-5 | update-1-88 | query-2-8 | query-3-7 | query-5-5 | query-9-10 | update-1-59 | update-5-10,63 301 None 82 None 212 None 212 None 301 275 57 146 None None
8 84 49 87 8 45 21 51 85 51,update-6-66 | update-4-36 | update-7-6 | update-3-21 | update-4-82 | query-8-10 | query-5-6 | update-4-71 | update-6-50 | update-1-14 | update-6-46 | query-4-5 | query-8-8 | query-2-3 | query-4-6,None None None None None 187 119 None None None None 284 51 154 491
57 70 39 75 62 48 24 18 49 17,update-8-78 | update-7-53 | query-9-10 | update-10-43 | update-1-40 | update-2-50 | update-5-96 | update-9-42 | update-1-61 | update-4-15 | update-3-43 | update-3-18 | query-2-4 | update-2-42 | update-4-20,None None 66 None None None None None None None None None 310 None None
94 67 45 26 57 92 72 7 32 17,update-1-4 | query-7-9 | update-4-38 | update-2-79 | query-1-1 | query-5-8 | query-1-10 | update-7-32 | query-9-10 | update-10-79 | query-3-9 | query-6-10 | update-4-58 | update-5-67 | query-8-10,None 111 None None 98 228 630 None 49 None 401 331 None None 135
46 26 24 65 3 62 44 14 15 33,update-7-47 | query-9-10 | query-5-9 | update-1-3 | update-10-3 | query-6-8 | query-6-10 | update-6-91 | update-1-82 | update-6-68 | query-9-10 | query-4-4 | query-5-5 | query-1-8 | update-5-60,None 48 185 None None 167 218 None None None 51 65 3 575 None
33 49 11 90 37 12 32 40 20 26,update-3-31 | query-2-7 | query-5-9 | update-5-73 | update-3-85 | update-5-8 | query-2-10 | query-7-8 | update-6-20 | query-8-10 | update-3-9 | query-3-6 | query-7-10 | update-3-81 | query-8-8,None 262 141 None None None 514 72 None 86 None 376 118 None 40
69 73 28 20 74 59 57 61 92 64,query-1-10 | update-7-87 | query-9-10 | query-9-10 | update-5-67 | update-8-48 | update-5-13 | update-8-31 | update-5-62 | query-2-8 | query-2-4 | update-1-9 | query-7-9 | update-6-58 | query-7-10,597 None 156 156 None None None None None 680 121 None 376 None 440
32 50 54 70 30 48 3 22 94 59,update-10-56 | query-9-9 | update-6-77 | update-2-42 | query-6-6 | update-3-76 | query-10-10 | query-2-9 | query-3-4 | query-10-10 | update-6-38 | update-7-77 | update-6-29 | query-4-8 | update-10-62,None 94 None None 125 None 115 566 200 115 None None None 394 None
55 98 71 19 60 34 23 30 41 29,update-1-94 | query-3-7 | update-5-70 | update-1-18 | query-1-8 | update-10-73 | update-2-25 | query-5-6 | update-8-47 | update-8-5 | query-6-8 | update-9-44 | query-10-10 | query-7-7 | query-5-8,None 207 None None 572 None None 164 None None 139 None 102 23 269
18 70 42 82 86 2 66 72 2 78,query-1-1 | query-7-8 | update-7-54 | update-8-7 | update-6-66 | query-8-9 | update-9-62 | query-5-9 | update-5-82 | query-4-5 | update-3-83 | query-6-10 | update-1-94 | query-3-3 | query-3-10,18 138 None None None 81 None 417 None 250 None 409 None 125 784
51 91 66 37 66 100 12 77 95 17,query-7-8 | update-4-95 | query-3-6 | update-8-89 | query-4-5 | query-6-8 | update-1-32 | update-2-51 | query-5-8 | query-8-8 | query-5-9 | update-1-70 | update-6-67 | update-2-81 | update-5-97,89 None 364 None 198 278 None None 344 166 439 None None None None
6 3 89 10 79 86 26 50 70 48,query-1-10 | query-5-7 | query-2-9 | update-10-86 | update-1-30 | query-7-9 | query-1-7 | query-10-10 | query-5-7 | update-4-2 | update-10-23 | update-5-22 | query-6-6 | update-8-59 | query-1-10,467 191 413 None None 146 329 134 191 None None None 86 None 689
38 85 40 17 83 37 77 77 13 31,update-1-15 | query-3-7 | query-5-7 | update-3-44 | query-3-9 | update-5-15 | query-7-10 | query-7-10 | update-6-88 | update-5-25 | query-6-9 | query-6-9 | update-9-28 | update-6-40 | update-3-33,None 254 197 None 388 None 198 198 None None 292 292 None None None
27 44 48 31 54 14 52 7 100 33,query-7-7 | update-1-70 | query-9-9 | query-8-9 | update-7-16 | query-8-8 | query-3-7 | query-5-6 | update-1-42 | update-4-52 | query-5-6 | update-6-62 | update-4-46 | query-2-4 | query-7-10,52 None 100 107 None 7 215 68 None None 68 None None 221 208
95 63 51 20 58 7 43 41 3 81,update-10-35 | query-10-10 | update-1-37 | update-2-13 | update-8-96 | update-8-33 | update-9-70 | query-7-10 | query-4-8 | query-9-9 | update-2-30 | query-6-7 | query-8-9 | update-2-7 | update-2-7,None 116 None None None None None 402 298 73 None 50 243 None None
67 29 66 33 87 60 38 73 79 44,query-7-10 | query-6-9 | update-3-69 | query-8-9 | update-9-16 | update-9-64 | query-10-10 | query-1-7 | query-2-10 | update-1-40 | query-3-5 | query-1-3 | query-10-10 | update-3-61 | query-3-4,234 250 None 152 None None 44 449 658 None 255 271 44 None 229
26 48 43 60 81 75 58 53 34 67,update-5-96 | update-3-65 | update-2-89 | query-2-2 | update-3-71 | query-10-10 | query-4-7 | update-7-70 | update-3-19 | update-1-15 | query-6-10 | update-5-45 | query-8-10 | query-7-7 | query-6-7,None None None 137 None 67 370 None None None 357 None 154 128 203
39 86 59 84 100 46 91 89 49 93,query-2-6 | update-9-10 | query-4-8 | query-6-6 | update-9-21 | query-10-10 | update-4-59 | update-4-60 | query-4-5 | update-7-31 | update-7-45 | update-8-37 | update-2-98 | update-2-26 | update-10-55,375 None 410 46 None 93 None None 303 None None None None None None
6 61 89 47 73 34 32 95 100 9,update-7-36 | update-3-74 | update-9-16 | query-5-7 | query-9-10 | query-7-8 | update-9-41 | query-3-9 | query-1-4 | update-10-92 | query-3-9 | query-2-9 | query-3-4 | update-5-80 | update-9-28,None None None 175 125 163 None 637 277 None 637 698 210 None None
95 34 51 27 8 89 32 39 1 29,query-8-9 | update-10-56 | update-9-67 | query-2-7 | update-8-51 | update-7-48 | update-2-47 | update-8-83 | query-10-10 | update-8-26 | query-1-8 | query-6-10 | update-7-64 | update-5-25 | update-2-38,40 None None 241 None None None None 85 None 630 521 None None None
34 97 29 14 100 62 67 86 53 49,query-3-6 | update-9-63 | update-7-4 | query-6-8 | update-3-63 | update-1-78 | update-5-12 | update-5-35 | update-6-38 | update-5-87 | update-2-51 | update-2-38 | update-6-42 | query-9-9 | update-1-15,205 None None 219 None None None None None None None None None 116 None
50 12 23 75 22 3 44 28 91 15,query-5-5 | query-7-10 | query-5-6 | query-7-10 | update-9-58 | query-9-10 | query-4-8 | query-7-10 | query-3-10 | update-6-49 | update-10-76 | query-3-6 | update-9-63 | update-7-9 | query-9-10,22 178 25 178 None 164 172 236 359 None None 172 None None 303
85 41 91 23 97 24 51 16 77 87,update-5-77 | update-10-73 | update-8-16 | update-3-54 | query-9-9 | query-1-8 | update-1-21 | query-9-9 | query-8-10 | update-5-60 | update-10-70 | update-10-28 | update-7-80 | update-5-20 | query-10-10,None None None None 77 575 None 77 269 None None None None None 258
47 24 82 52 71 61 26 8 52 77,update-2-77 | query-3-3 | update-1-23 | query-8-9 | query-2-9 | query-4-4 | query-3-7 | update-2-67 | update-2-39 | query-10-10 | update-1-8 | query-1-10 | query-1-2 | update-3-43 | update-9-87,None 82 None 60 453 52 292 None None 77 None 714 285 None None
17 7 28 38 61 1 31 33 95 12,query-2-10 | update-4-51 | update-10-45 | update-4-80 | query-8-8 | update-9-38 | query-2-10 | update-6-8 | update-8-10 | update-3-39 | update-1-80 | update-1-49 | query-9-10 | update-9-70 | update-7-9,306 None None None 33 None 520 None None None None None 190 None None
23 30 7 70 2 59 95 78 81 83,update-7-61 | update-9-42 | update-8-95 | query-1-5 | update-10-3 | update-3-30 | query-2-6 | query-3-8 | query-7-8 | query-4-4 | query-3-6 | update-7-98 | query-3-5 | update-3-5 | update-8-51,None None None 132 None None 198 497 329 70 168 None 109 None None
19 56 49 52 87 60 28 3 46 28,query-2-2 | query-4-4 | query-9-10 | update-3-50 | update-4-80 | query-1-8 | update-8-99 | update-4-50 | update-1-55 | update-5-53 | query-1-8 | query-8-9 | update-7-65 | query-3-7 | query-10-10,56 52 74 None None 484 None None None None 741 148 None 574 28
47 65 11 81 88 15 20 25 99 91,query-2-4 | query-9-10 | update-8-53 | update-8-16 | query-5-10 | update-4-53 | update-6-28 | query-9-10 | update-3-41 | query-7-10 | query-4-4 | query-3-5 | update-2-82 | update-1-78 | update-4-9,157 190 None None 407 None None 190 None 304 134 274 None None None
10 9 48 90 99 52 14 96 77 23,query-1-1 | update-9-50 | update-8-98 | query-3-6 | query-6-9 | update-2-47 | query-2-7 | update-1-14 | update-10-54 | update-3-7 | update-4-15 | update-10-26 | update-9-84 | update-10-19 | update-3-89,10 None None 289 387 None 359 None None None None None None None None
15 9 83 13 32 4 46 99 26 33,update-8-73 | query-8-8 | query-4-10 | query-4-8 | update-1-34 | query-7-9 | query-3-3 | update-4-97 | update-7-30 | query-3-5 | query-10-10 | update-3-97 | update-3-66 | query-10-10 | query-6-9,None 172 326 267 None 244 83 None None 225 33 None None 33 278
37 36 24 90 30 84 39 63 19 67,update-1-82 | update-6-23 | update-9-8 | update-4-84 | query-6-9 | update-8-49 | update-3-93 | update-3-86 | update-1-43 | query-2-2 | query-10-10 | query-8-9 | update-1-72 | update-4-37 | query-2-4,None None None None 236 None None None None 36 67 139 None None 450
41 96 93 18 41 84 33 66 70 40,update-3-4 | query-9-9 | update-8-51 | query-9-10 | update-10-26 | update-2-19 | query-8-9 | query-1-1 | update-10-5 | query-2-8 | update-1-67 | update-6-5 | query-9-10 | query-4-7 | query-5-10,None 70 None 110 None None 187 41 None 505 None None 141 181 421
82 90 78 69 96 4 14 70 3 63,update-3-31 | query-5-5 | query-2-8 | query-1-5 | query-7-8 | query-2-5 | query-4-10 | update-4-17 | update-7-26 | update-1-33 | update-9-95 | update-6-21 | query-5-9 | update-6-9 | query-1-6,None 96 452 446 84 364 319 None None None None None 329 None 530
11 29 74 57 53 17 74 63 96 68,update-1-52 | update-5-69 | update-4-99 | query-5-5 | query-9-10 | update-6-21 | update-9-86 | update-6-12 | query-6-8 | update-7-16 | query-3-3 | update-6-3 | query-9-10 | update-6-65 | query-10-10,None None None 122 164 None None None 187 None 74 None 250 None 68
39 8 16 63 92 20 25 25 4 90,update-3-6 | query-9-10 | query-10-10 | update-10-96 | query-1-9 | query-3-8 | query-1-4 | update-6-52 | query-9-10 | update-8-29 | query-9-10 | query-1-7 | update-7-85 | query-5-8 | update-10-18,None 94 90 None 298 247 132 None 190 None 190 321 None 328 None
89 38 58 1 97 53 87 92 48 39,query-3-6 | update-7-79 | update-3-5 | query-10-10 | query-5-5 | query-8-10 | update-6-5 | query-4-10 | update-5-27 | update-1-17 | query-2-10 | update-1-17 | update-4-92 | query-4-5 | update-2-89,209 None None 39 97 179 None 501 None None 629 None None 217 None
36 13 41 89 14 25 74 96 48 36,update-2-1 | query-4-6 | query-6-10 | update-5-45 | query-6-7 | query-9-9 | update-3-39 | update-5-33 | update-10-9 | update-2-30 | update-8-40 | query-7-8 | query-4-9 | query-3-6 | query-1-6,None 128 279 None 99 48 None None None None None 210 464 286 366
5 38 44 7 38 56 50 33 84 26,update-8-64 | update-2-40 | query-10-10 | update-1-85 | query-7-8 | query-3-6 | update-10-62 | update-8-99 | update-3-90 | update-7-58 | update-7-55 | query-2-4 | update-3-70 | update-6-93 | update-1-50,None None 26 None 147 145 None None None None None 219 None None None
45 44 61 95 75 10 57 18 19 56,query-6-9 | query-5-7 | query-7-8 | query-5-7 | update-1-75 | update-3-55 | update-8-17 | query-9-9 | update-9-96 | update-4-43 | query-8-8 | update-10-39 | query-1-1 | query-4-8 | query-9-10,104 142 75 142 None None None 19 None None 35 None 120 315 210
77 23 69 37 56 69 76 57 6 33,update-10-80 | query-7-8 | update-6-46 | query-8-9 | update-1-47 | query-10-10 | update-7-82 | update-1-9 | update-8-56 | query-8-9 | query-1-7 | query-5-5 | query-3-10 | update-5-94 | update-5-75,None 133 None 63 None 113 None None None 119 591 56 667 None None
45 33 30 77 35 87 6 40 38 77,update-8-86 | update-1-90 | query-4-10 | query-2-6 | update-9-49 | update-10-16 | update-6-56 | query-10-10 | query-4-4 | update-9-87 | query-1-2 | update-8-68 | query-3-5 | update-9-36 | query-9-9,None None 446 262 None None None 93 77 None 168 None 142 None 210
72 14 1 19 58 61 66 7 58 73,query-9-10 | update-2-96 | update-10-48 | query-1-4 | update-10-55 | update-4-14 | query-3-10 | update-4-75 | update-2-48 | update-7-91 | update-4-99 | query-4-5 | query-9-10 | update-10-100 | query-10-10,131 None None 202 None None 460 None None None None 265 234 None 276
84 25 81 27 20 56 83 89 50 53,update-1-38 | query-5-8 | update-1-93 | query-9-10 | update-10-39 | query-5-10 | query-6-8 | update-3-16 | query-9-9 | update-8-96 | query-5-8 | update-9-98 | update-4-82 | query-7-9 | query-6-8,None 248 None 103 None 390 228 None 50 None 344 None None 416 324
26 60 76 23 9 3 11 75 38 76,update-2-57 | update-1-82 | query-7-10 | update-6-94 | query-7-8 | query-1-5 | query-4-8 | query-7-10 | query-10-10 | query-10-10 | query-5-7 | query-4-8 | update-7-8 | update-4-22 | query-7-8,None None 200 None 86 333 215 200 76 76 117 215 None None 94
48 57 16 1 88 71 21 66 57 62,query-4-7 | query-8-8 | query-5-5 | query-10-10 | update-6-56 | update-8-39 | query-5-10 | update-6-61 | update-7-31 | query-9-9 | query-3-9 | update-10-10 | query-3-6 | query-9-9 | query-6-8,181 66 88 62 None None 460 None None 57 507 None 293 57 345
74 59 70 29 45 81 4 79 82 49,query-2-3 | query-3-5 | update-1-70 | update-4-14 | query-10-10 | query-7-8 | update-4-41 | update-2-41 | update-5-35 | query-8-10 | update-1-5 | update-7-31 | query-9-10 | update-2-51 | query-7-9,129 144 None None 49 83 None None None 210 None None 131 None 196
71 62 75 58 83 69 94 23 21 68,query-9-9 | update-8-39 | query-7-8 | query-8-8 | query-3-5 | update-2-1 | query-5-8 | update-2-16 | update-1-61 | query-7-7 | update-8-32 | query-2-4 | query-3-9 | update-3-40 | query-1-5,21 None 156 62 216 None 308 None None 94 None 212 494 None 467
75 49 20 48 50 30 4 58 57 77,update-1-92 | query-5-10 | query-1-1 | query-4-4 | query-3-10 | query-6-7 | query-8-9 | update-9-71 | update-10-31 | query-10-10 | query-7-8 | update-1-83 | query-3-8 | query-1-6 | query-2-10,None 276 167 48 344 34 115 None None 108 62 None 210 447 495
52 48 38 38 70 96 63 70 68 35,update-6-98 | update-3-26 | update-3-19 | update-4-95 | update-4-29 | query-7-8 | query-9-10 | query-1-9 | query-10-10 | query-2-8 | query-2-8 | update-9-51 | update-6-13 | query-7-8 | update-7-67,None None None None None 133 103 810 35 690 690 None None 133 None
50 38 82 35 46 21 3 18 64 70,query-9-9 | query-2-4 | update-8-14 | update-10-3 | update-1-28 | query-6-8 | update-3-87 | query-2-6 | update-10-40 | update-2-65 | query-7-10 | update-5-88 | update-5-69 | query-9-10 | update-9-74,64 155 None None None 56 None 309 None None 212 None None 177 None
6 8 47 46 55 37 76 9 7 88,update-6-39 | update-1-77 | query-4-5 | query-3-7 | update-2-42 | query-6-7 | update-4-100 | query-3-3 | update-2-74 | update-9-48 | update-3-31 | query-6-9 | query-9-9 | query-5-7 | query-2-3,None None 101 300 None 152 None 47 None None None 216 55 207 202
38 21 58 6 77 2 73 21 98 16,update-3-53 | query-6-8 | query-4-5 | update-10-86 | query-5-10 | query-5-10 | update-4-74 | query-1-6 | update-6-87 | query-8-9 | update-4-84 | update-2-94 | update-2-18 | update-5-83 | update-9-63,None 96 83 None 373 373 None 329 None 119 None None None None None
7 10 18 66 39 47 60 64 58 32,update-8-82 | update-1-19 | update-6-72 | query-10-10 | query-8-10 | update-6-53 | query-8-8 | update-4-98 | query-9-10 | update-8-90 | update-9-58 | query-8-8 | query-3-6 | query-10-10 | query-5-7,None None None 32 236 None 146 None 90 None None 236 393 32 271
