nodes,edges,start_node,distances,intermediate_steps
10,6-1-61 1-6-61 5-1-41 1-5-41 8-0-42 0-8-42 0-5-41 5-0-41 4-3-55 3-4-55 9-8-43 8-9-43 6-0-96 0-6-96 7-2-12 2-7-12 2-7-85 7-2-85 8-3-83 3-8-83 6-1-1 1-6-1 3-6-21 6-3-21 0-9-17 9-0-17 8-1-73 1-8-73 0-5-41 5-0-41,9,17 99 inf 121 176 58 100 inf 43 0,9-0 | 0-17 | 8-43 | 5-58 | 1-99 | 6-100 | 3-121 | 4-176
10,3-2-82 2-3-82 7-1-83 1-7-83 2-5-74 5-2-74 3-4-40 4-3-40 6-2-62 2-6-62 3-0-78 0-3-78 1-8-89 8-1-89 3-9-11 9-3-11 8-4-16 4-8-16 7-2-59 2-7-59 2-1-34 1-2-34 4-0-26 0-4-26 0-1-78 1-0-78 4-6-28 6-4-28 3-8-76 8-3-76,1,78 0 34 116 104 108 96 83 89 127,1-0 | 2-34 | 0-78 | 7-83 | 8-89 | 6-96 | 4-104 | 5-108 | 3-116 | 9-127
10,1-3-79 3-1-79 0-3-100 3-0-100 1-0-33 0-1-33 5-8-67 8-5-67 2-0-25 0-2-25 8-9-50 9-8-50 2-3-4 3-2-4 3-1-45 1-3-45 1-4-24 4-1-24 6-8-83 8-6-83 2-4-28 4-2-28 8-2-84 2-8-84 0-3-49 3-0-49 7-6-63 6-7-63 4-7-99 7-4-99,2,25 49 0 4 28 151 167 127 84 134,2-0 | 3-4 | 0-25 | 4-28 | 1-49 | 8-84 | 7-127 | 9-134 | 5-151 | 6-167
10,1-8-52 8-1-52 3-4-19 4-3-19 5-6-18 6-5-18 1-9-71 9-1-71 3-6-77 6-3-77 3-9-66 9-3-66 5-6-48 6-5-48 1-8-62 8-1-62 5-9-13 9-5-13 0-9-36 9-0-36 0-7-50 7-0-50 9-5-29 5-9-29 0-8-94 8-0-94 6-9-56 9-6-56 0-6-81 6-0-81,2,inf inf 0 inf inf inf inf inf inf inf,2-0
10,8-0-20 0-8-20 5-7-82 7-5-82 3-2-57 2-3-57 8-0-47 0-8-47 5-0-64 0-5-64 9-7-2 7-9-2 9-6-67 6-9-67 4-6-33 6-4-33 6-2-15 2-6-15 5-4-49 4-5-49 8-3-35 3-8-35 0-3-75 3-0-75 5-1-67 1-5-67 8-6-21 6-8-21 7-1-30 1-7-30,6,41 99 15 56 33 82 0 69 21 67,6-0 | 2-15 | 8-21 | 4-33 | 0-41 | 3-56 | 9-67 | 7-69 | 5-82 | 1-99
10,3-4-40 4-3-40 5-0-72 0-5-72 7-5-53 5-7-53 7-1-25 1-7-25 8-6-25 6-8-25 5-1-20 1-5-20 2-7-30 7-2-30 8-4-18 4-8-18 6-9-92 9-6-92 4-6-9 6-4-9 3-4-24 4-3-24 7-6-60 6-7-60 4-2-17 2-4-17 2-4-64 4-2-64 7-8-23 8-7-23,6,165 73 26 33 9 93 0 48 25 92,6-0 | 4-9 | 8-25 | 2-26 | 3-33 | 7-48 | 1-73 | 9-92 | 5-93 | 0-165
10,3-1-26 1-3-26 5-4-12 4-5-12 7-1-51 1-7-51 3-5-49 5-3-49 1-7-19 7-1-19 2-8-50 8-2-50 9-2-90 2-9-90 4-7-61 7-4-61 4-8-29 8-4-29 2-6-83 6-2-83 7-5-82 5-7-82 5-1-75 1-5-75 0-6-61 6-0-61 1-6-29 6-1-29 8-0-24 0-8-24,6,61 29 83 55 109 104 0 48 85 173,6-0 | 1-29 | 7-48 | 3-55 | 0-61 | 2-83 | 8-85 | 5-104 | 4-109 | 9-173
10,5-6-82 6-5-82 2-0-15 0-2-15 5-3-75 3-5-75 1-9-97 9-1-97 7-4-8 4-7-8 0-3-40 3-0-40 1-8-30 8-1-30 9-1-95 1-9-95 1-8-76 8-1-76 9-5-53 5-9-53 0-1-13 1-0-13 5-7-82 7-5-82 0-4-32 4-0-32 2-6-62 6-2-62 7-5-85 5-7-85,2,15 28 0 55 47 130 62 55 58 123,2-0 | 0-15 | 1-28 | 4-47 | 3-55 | 7-55 | 8-58 | 6-62 | 9-123 | 5-130
10,3-7-26 7-3-26 9-6-60 6-9-60 6-0-86 0-6-86 9-0-32 0-9-32 6-2-18 2-6-18 0-6-82 6-0-82 1-7-2 7-1-2 8-0-25 0-8-25 2-7-39 7-2-39 5-6-64 6-5-64 2-7-3 7-2-3 4-5-39 5-4-39 4-9-86 9-4-86 5-6-62 6-5-62 8-7-75 7-8-75,4,118 124 119 148 0 39 101 122 143 86,4-0 | 5-39 | 9-86 | 6-101 | 0-118 | 2-119 | 7-122 | 1-124 | 8-143 | 3-148
10,9-1-87 1-9-87 9-6-87 6-9-87 8-3-94 3-8-94 0-4-26 4-0-26 9-2-90 2-9-90 1-2-67 2-1-67 8-0-79 0-8-79 0-1-76 1-0-76 2-0-58 0-2-58 4-7-91 7-4-91 2-5-91 5-2-91 7-5-35 5-7-35 2-5-20 5-2-20 2-9-44 9-2-44 9-5-92 5-9-92,4,26 102 84 199 0 104 215 91 105 128,4-0 | 0-26 | 2-84 | 7-91 | 1-102 | 5-104 | 8-105 | 9-128 | 3-199 | 6-215
10,0-2-78 2-0-78 3-2-99 2-3-99 2-6-75 6-2-75 9-4-51 4-9-51 5-8-38 8-5-38 6-5-66 5-6-66 0-7-2 7-0-2 5-6-93 6-5-93 5-0-66 0-5-66 4-0-78 0-4-78 5-0-89 0-5-89 8-2-57 2-8-57 3-6-37 6-3-37 7-0-10 0-7-10 0-2-7 2-0-7,6,82 inf 75 37 160 66 0 84 104 211,6-0 | 3-37 | 5-66 | 2-75 | 0-82 | 7-84 | 8-104 | 4-160 | 9-211
10,8-4-69 4-8-69 5-6-84 6-5-84 7-8-84 8-7-84 9-3-95 3-9-95 5-0-54 0-5-54 9-1-16 1-9-16 4-1-38 1-4-38 4-0-81 0-4-81 7-9-10 9-7-10 5-4-18 4-5-18 5-8-17 8-5-17 4-0-74 0-4-74 1-6-1 6-1-1 4-9-93 9-4-93 9-8-62 8-9-62,0,0 110 inf 221 72 54 111 136 71 126,0-0 | 5-54 | 8-71 | 4-72 | 1-110 | 6-111 | 9-126 | 7-136 | 3-221
10,6-1-56 1-6-56 0-9-64 9-0-64 9-0-68 0-9-68 6-8-20 8-6-20 3-5-38 5-3-38 1-0-86 0-1-86 7-9-38 9-7-38 1-5-90 5-1-90 9-0-59 0-9-59 8-7-10 7-8-10 4-1-45 1-4-45 6-3-55 3-6-55 2-0-2 0-2-2 1-6-78 6-1-78 4-6-88 6-4-88,8,107 76 109 75 108 113 20 10 0 48,8-0 | 7-10 | 6-20 | 9-48 | 3-75 | 1-76 | 0-107 | 4-108 | 2-109 | 5-113
10,5-4-99 4-5-99 0-7-7 7-0-7 1-4-70 4-1-70 0-3-54 3-0-54 9-1-20 1-9-20 1-2-22 2-1-22 4-6-20 6-4-20 8-9-68 9-8-68 1-6-70 6-1-70 0-8-72 8-0-72 0-2-89 2-0-89 5-4-100 4-5-100 7-0-74 0-7-74 4-1-22 1-4-22 1-9-12 9-1-12,9,123 12 34 177 34 133 54 130 68 0,9-0 | 1-12 | 2-34 | 4-34 | 6-54 | 8-68 | 0-123 | 7-130 | 5-133 | 3-177
10,1-4-51 4-1-51 3-9-91 9-3-91 0-2-92 2-0-92 5-3-76 3-5-76 4-7-67 7-4-67 6-5-74 5-6-74 4-2-99 2-4-99 5-3-98 3-5-98 7-1-93 1-7-93 5-2-59 2-5-59 8-2-44 2-8-44 9-7-6 7-9-6 0-3-75 3-0-75 1-5-36 5-1-36 4-6-74 6-4-74,0,0 187 92 75 191 151 225 172 136 166,0-0 | 3-75 | 2-92 | 8-136 | 5-151 | 9-166 | 7-172 | 1-187 | 4-191 | 6-225
10,5-8-50 8-5-50 7-6-72 6-7-72 7-5-16 5-7-16 6-3-11 3-6-11 8-6-25 6-8-25 9-7-44 7-9-44 5-8-7 8-5-7 2-0-41 0-2-41 4-0-99 0-4-99 1-5-70 5-1-70 4-8-21 8-4-21 6-4-50 4-6-50 7-9-7 9-7-7 6-0-18 0-6-18 6-5-53 5-6-53,4,64 98 105 57 0 28 46 44 21 51,4-0 | 8-21 | 5-28 | 7-44 | 6-46 | 9-51 | 3-57 | 0-64 | 1-98 | 2-105
10,7-6-91 6-7-91 3-6-58 6-3-58 5-6-29 6-5-29 2-3-12 3-2-12 7-9-40 9-7-40 6-2-92 2-6-92 7-1-21 1-7-21 2-3-1 3-2-1 9-7-64 7-9-64 0-3-72 3-0-72 5-4-67 4-5-67 2-1-3 1-2-3 1-6-19 6-1-19 8-3-40 3-8-40 6-2-79 2-6-79,9,137 61 64 65 176 109 80 40 105 0,9-0 | 7-40 | 1-61 | 2-64 | 3-65 | 6-80 | 8-105 | 5-109 | 0-137 | 4-176
10,0-1-24 1-0-24 5-4-82 4-5-82 6-3-98 3-6-98 1-3-68 3-1-68 9-1-100 1-9-100 4-2-97 2-4-97 2-1-63 1-2-63 5-6-51 6-5-51 6-9-76 9-6-76 9-6-69 6-9-69 6-1-7 1-6-7 9-7-42 7-9-42 1-4-29 4-1-29 8-0-94 0-8-94 8-0-79 0-8-79,4,53 29 92 97 0 82 36 147 132 105,4-0 | 1-29 | 6-36 | 0-53 | 5-82 | 2-92 | 3-97 | 9-105 | 8-132 | 7-147
10,8-6-39 6-8-39 7-5-33 5-7-33 0-4-77 4-0-77 3-9-28 9-3-28 2-0-33 0-2-33 3-2-38 2-3-38 1-0-50 0-1-50 1-6-63 6-1-63 7-0-40 0-7-40 5-3-4 3-5-4 1-6-57 6-1-57 6-4-18 4-6-18 7-4-6 4-7-6 5-2-6 2-5-6 6-9-41 9-6-41,1,50 0 83 93 75 89 57 81 96 98,1-0 | 0-50 | 6-57 | 4-75 | 7-81 | 2-83 | 5-89 | 3-93 | 8-96 | 9-98
10,4-3-47 3-4-47 0-8-74 8-0-74 0-4-25 4-0-25 8-6-79 6-8-79 2-6-5 6-2-5 9-5-52 5-9-52 6-5-47 5-6-47 6-8-80 8-6-80 3-9-100 9-3-100 7-2-70 2-7-70 2-5-21 5-2-21 4-1-65 1-4-65 3-8-8 8-3-8 2-1-68 1-2-68 8-4-67 4-8-67,5,179 89 21 113 154 0 26 91 105 52,5-0 | 2-21 | 6-26 | 9-52 | 1-89 | 7-91 | 8-105 | 3-113 | 4-154 | 0-179
10,6-4-86 4-6-86 0-6-23 6-0-23 1-7-23 7-1-23 3-7-56 7-3-56 1-5-14 5-1-14 7-8-26 8-7-26 1-8-23 8-1-23 3-7-85 7-3-85 1-9-100 9-1-100 1-0-54 0-1-54 0-3-9 3-0-9 0-1-46 1-0-46 1-8-69 8-1-69 9-2-80 2-9-80 9-2-89 2-9-89,5,60 14 194 69 169 0 83 37 37 114,5-0 | 1-14 | 7-37 | 8-37 | 0-60 | 3-69 | 6-83 | 9-114 | 4-169 | 2-194
10,6-8-57 8-6-57 3-6-16 6-3-16 2-0-56 0-2-56 4-9-22 9-4-22 9-8-76 8-9-76 4-8-97 8-4-97 3-5-79 5-3-79 7-2-37 2-7-37 8-9-20 9-8-20 5-4-83 4-5-83 8-5-18 5-8-18 1-8-28 8-1-28 5-8-60 8-5-60 9-3-54 3-9-54 8-7-22 7-8-22,6,172 85 116 16 92 75 0 79 57 70,6-0 | 3-16 | 8-57 | 9-70 | 5-75 | 7-79 | 1-85 | 4-92 | 2-116 | 0-172
10,2-3-2 3-2-2 4-9-80 9-4-80 1-6-36 6-1-36 4-6-66 6-4-66 2-4-40 4-2-40 3-0-1 0-3-1 9-8-59 8-9-59 1-9-95 9-1-95 2-9-60 9-2-60 8-2-52 2-8-52 7-4-46 4-7-46 0-1-68 1-0-68 0-9-10 9-0-10 0-8-88 8-0-88 0-4-47 4-0-47,1,68 0 71 69 102 inf 36 148 123 78,1-0 | 6-36 | 0-68 | 3-69 | 2-71 | 9-78 | 4-102 | 8-123 | 7-148
10,4-3-2 3-4-2 7-2-88 2-7-88 4-6-63 6-4-63 3-2-8 2-3-8 4-7-14 7-4-14 7-6-6 6-7-6 2-8-72 8-2-72 7-6-42 6-7-42 2-6-51 6-2-51 4-5-32 5-4-32 1-4-68 4-1-68 6-5-100 5-6-100 9-6-90 6-9-90 5-1-27 1-5-27 2-9-57 9-2-57,6,inf 79 30 22 20 52 0 6 102 87,6-0 | 7-6 | 4-20 | 3-22 | 2-30 | 5-52 | 1-79 | 9-87 | 8-102
10,4-0-87 0-4-87 7-4-53 4-7-53 6-3-50 3-6-50 6-9-3 9-6-3 2-0-47 0-2-47 1-3-7 3-1-7 5-7-19 7-5-19 9-6-28 6-9-28 1-0-11 0-1-11 4-7-20 7-4-20 9-7-31 7-9-31 2-8-5 8-2-5 9-7-71 7-9-71 5-6-48 6-5-48 4-9-72 9-4-72,7,102 91 149 84 20 19 34 0 154 31,7-0 | 5-19 | 4-20 | 9-31 | 6-34 | 3-84 | 1-91 | 0-102 | 2-149 | 8-154
10,4-6-44 6-4-44 1-9-81 9-1-81 0-4-83 4-0-83 5-8-60 8-5-60 9-5-89 5-9-89 1-6-10 6-1-10 5-9-87 9-5-87 7-8-9 8-7-9 6-9-50 9-6-50 6-8-90 8-6-90 0-6-4 6-0-4 1-8-27 8-1-27 6-1-42 1-6-42 1-5-4 5-1-4 3-7-31 7-3-31,7,50 36 inf 31 90 40 46 0 9 96,7-0 | 8-9 | 3-31 | 1-36 | 5-40 | 6-46 | 0-50 | 4-90 | 9-96
10,6-5-40 5-6-40 9-2-8 2-9-8 2-0-33 0-2-33 1-2-62 2-1-62 4-6-29 6-4-29 5-7-12 7-5-12 7-4-25 4-7-25 4-7-55 7-4-55 7-8-100 8-7-100 9-5-80 5-9-80 6-3-62 3-6-62 7-9-22 9-7-22 8-2-59 2-8-59 5-3-7 3-5-7 8-6-20 6-8-20,0,0 95 33 82 88 75 112 63 92 41,0-0 | 2-33 | 9-41 | 7-63 | 5-75 | 3-82 | 4-88 | 8-92 | 1-95 | 6-112
10,0-2-35 2-0-35 5-9-55 9-5-55 6-3-12 3-6-12 7-5-95 5-7-95 4-5-95 5-4-95 7-5-32 5-7-32 2-6-39 6-2-39 8-9-21 9-8-21 4-1-40 1-4-40 4-2-21 2-4-21 4-2-40 2-4-40 1-2-64 2-1-64 8-9-12 9-8-12 6-3-5 3-6-5 2-8-68 8-2-68,3,79 105 44 0 65 160 5 192 112 124,3-0 | 6-5 | 2-44 | 4-65 | 0-79 | 1-105 | 8-112 | 9-124 | 5-160 | 7-192
10,3-8-68 8-3-68 1-9-72 9-1-72 9-5-55 5-9-55 0-9-90 9-0-90 5-0-22 0-5-22 2-9-7 9-2-7 9-0-94 0-9-94 4-5-79 5-4-79 4-5-38 5-4-38 1-5-50 5-1-50 2-6-70 6-2-70 9-4-21 4-9-21 5-9-74 9-5-74 0-8-15 8-0-15 4-3-91 3-4-91,7,inf inf inf inf inf inf inf 0 inf inf,7-0
10,6-5-75 5-6-75 7-5-78 5-7-78 7-6-18 6-7-18 1-8-34 8-1-34 3-9-28 9-3-28 1-3-15 3-1-15 2-6-31 6-2-31 8-3-97 3-8-97 3-8-3 8-3-3 2-6-25 6-2-25 8-9-84 9-8-84 9-6-13 6-9-13 2-5-64 5-2-64 0-4-47 4-0-47 9-1-77 1-9-77,0,0 inf inf inf 47 inf inf inf inf inf,0-0 | 4-47
10,5-8-70 8-5-70 6-8-60 8-6-60 6-7-80 7-6-80 3-4-97 4-3-97 4-5-20 5-4-20 1-7-13 7-1-13 6-1-31 1-6-31 7-1-39 1-7-39 4-1-65 1-4-65 5-1-53 1-5-53 8-2-88 2-8-88 4-0-21 0-4-21 0-5-65 5-0-65 1-6-49 6-1-49 6-7-72 7-6-72,4,21 65 178 97 0 20 96 78 90 inf,4-0 | 5-20 | 0-21 | 1-65 | 7-78 | 8-90 | 6-96 | 3-97 | 2-178
10,2-8-5 8-2-5 6-7-81 7-6-81 5-7-14 7-5-14 8-6-100 6-8-100 5-2-88 2-5-88 0-5-100 5-0-100 4-8-15 8-4-15 4-0-98 0-4-98 9-2-70 2-9-70 3-9-79 9-3-79 0-2-25 2-0-25 6-4-86 4-6-86 5-7-95 7-5-95 6-4-64 4-6-64 3-2-41 2-3-41,6,109 inf 84 125 64 95 0 81 79 154,6-0 | 4-64 | 8-79 | 7-81 | 2-84 | 5-95 | 0-109 | 3-125 | 9-154
10,6-3-7 3-6-7 2-9-49 9-2-49 0-2-77 2-0-77 2-7-85 7-2-85 1-7-64 7-1-64 1-3-44 3-1-44 2-9-30 9-2-30 9-7-14 7-9-14 2-5-15 5-2-15 1-6-58 6-1-58 8-6-49 6-8-49 2-3-43 3-2-43 4-5-75 5-4-75 5-1-92 1-5-92 4-2-62 2-4-62,6,127 51 50 7 112 65 0 94 49 80,6-0 | 3-7 | 8-49 | 2-50 | 1-51 | 5-65 | 9-80 | 7-94 | 4-112 | 0-127
10,3-5-45 5-3-45 4-2-64 2-4-64 7-4-40 4-7-40 8-4-78 4-8-78 4-7-75 7-4-75 7-9-1 9-7-1 1-4-50 4-1-50 7-9-3 9-7-3 1-7-30 7-1-30 0-1-53 1-0-53 7-8-15 8-7-15 5-4-94 4-5-94 4-6-46 6-4-46 3-1-21 1-3-21 0-4-65 4-0-65,6,111 96 110 117 46 140 0 86 101 87,6-0 | 4-46 | 7-86 | 9-87 | 1-96 | 8-101 | 2-110 | 0-111 | 3-117 | 5-140
10,7-2-25 2-7-25 1-0-6 0-1-6 8-5-89 5-8-89 6-1-86 1-6-86 8-5-5 5-8-5 1-4-71 4-1-71 5-4-63 4-5-63 3-9-33 9-3-33 0-2-3 2-0-3 1-4-69 4-1-69 8-9-78 9-8-78 9-7-19 7-9-19 4-1-92 1-4-92 8-3-100 3-8-100 8-0-75 0-8-75,8,75 81 78 100 68 5 167 97 0 78,8-0 | 5-5 | 4-68 | 0-75 | 2-78 | 9-78 | 1-81 | 7-97 | 3-100 | 6-167
10,7-9-61 9-7-61 1-2-23 2-1-23 1-0-98 0-1-98 5-0-50 0-5-50 6-0-35 0-6-35 2-5-63 5-2-63 4-8-55 8-4-55 8-9-59 9-8-59 1-0-11 0-1-11 8-4-75 4-8-75 0-5-3 5-0-3 6-3-41 3-6-41 5-2-58 2-5-58 4-9-3 9-4-3 8-0-73 0-8-73,3,76 87 110 0 204 79 41 268 149 207,3-0 | 6-41 | 0-76 | 5-79 | 1-87 | 2-110 | 8-149 | 4-204 | 9-207 | 7-268
10,3-7-32 7-3-32 1-7-69 7-1-69 8-5-49 5-8-49 7-2-79 2-7-79 3-1-88 1-3-88 0-8-33 8-0-33 6-8-77 8-6-77 1-9-53 9-1-53 4-8-43 8-4-43 0-7-93 7-0-93 8-2-45 2-8-45 7-6-41 6-7-41 3-1-55 1-3-55 8-2-7 2-8-7 0-3-12 3-0-12,0,0 67 40 12 76 82 85 44 33 120,0-0 | 3-12 | 8-33 | 2-40 | 7-44 | 1-67 | 4-76 | 5-82 | 6-85 | 9-120
10,2-8-48 8-2-48 2-4-20 4-2-20 8-5-52 5-8-52 4-0-82 0-4-82 3-2-8 2-3-8 9-7-31 7-9-31 3-1-92 1-3-92 4-8-88 8-4-88 2-7-4 7-2-4 5-7-44 7-5-44 3-2-3 2-3-3 9-2-6 2-9-6 0-4-95 4-0-95 1-7-12 7-1-12 1-6-42 6-1-42,4,82 36 20 23 0 68 78 24 68 26,4-0 | 2-20 | 3-23 | 7-24 | 9-26 | 1-36 | 5-68 | 8-68 | 6-78 | 0-82
10,1-5-92 5-1-92 6-8-10 8-6-10 1-0-17 0-1-17 1-7-5 7-1-5 2-4-43 4-2-43 4-8-46 8-4-46 0-7-93 7-0-93 5-8-4 8-5-4 8-9-37 9-8-37 9-6-98 6-9-98 2-0-55 0-2-55 3-5-51 5-3-51 1-8-72 8-1-72 7-2-69 2-7-69 0-8-80 8-0-80,7,22 5 69 132 112 81 87 0 77 114,7-0 | 1-5 | 0-22 | 2-69 | 8-77 | 5-81 | 6-87 | 4-112 | 9-114 | 3-132
10,8-5-5 5-8-5 0-6-99 6-0-99 8-3-52 3-8-52 8-9-28 9-8-28 7-6-45 6-7-45 9-1-23 1-9-23 9-5-19 5-9-19 1-3-72 3-1-72 1-4-37 4-1-37 7-3-52 3-7-52 8-3-39 3-8-39 1-5-16 5-1-16 6-1-88 1-6-88 5-2-92 2-5-92 5-7-71 7-5-71,7,144 87 163 52 124 71 45 0 76 90,7-0 | 6-45 | 3-52 | 5-71 | 8-76 | 1-87 | 9-90 | 4-124 | 0-144 | 2-163
10,8-9-95 9-8-95 3-0-88 0-3-88 8-7-30 7-8-30 2-4-24 4-2-24 0-2-42 2-0-42 1-2-63 2-1-63 8-2-26 2-8-26 4-9-79 9-4-79 7-3-37 3-7-37 4-6-28 6-4-28 8-3-61 3-8-61 5-1-32 1-5-32 4-5-69 5-4-69 8-1-5 1-8-5 6-8-29 8-6-29,1,73 0 31 66 55 32 34 35 5 100,1-0 | 8-5 | 2-31 | 5-32 | 6-34 | 7-35 | 4-55 | 3-66 | 0-73 | 9-100
10,1-3-99 3-1-99 8-0-90 0-8-90 3-5-98 5-3-98 1-3-15 3-1-15 6-1-43 1-6-43 0-4-39 4-0-39 5-4-27 4-5-27 2-5-96 5-2-96 6-2-100 2-6-100 4-9-43 9-4-43 3-5-90 5-3-90 5-4-66 4-5-66 8-1-62 1-8-62 1-8-3 8-1-3 8-4-99 4-8-99,5,66 105 96 90 27 0 148 inf 108 70,5-0 | 4-27 | 0-66 | 9-70 | 3-90 | 2-96 | 1-105 | 8-108 | 6-148
10,2-7-63 7-2-63 5-3-66 3-5-66 8-6-53 6-8-53 7-5-70 5-7-70 5-7-34 7-5-34 0-5-7 5-0-7 3-1-27 1-3-27 9-6-49 6-9-49 9-1-84 1-9-84 9-7-53 7-9-53 9-4-79 4-9-79 2-7-95 7-2-95 6-7-30 7-6-30 1-0-10 0-1-10 6-8-60 8-6-60,7,41 51 63 78 132 34 30 0 83 53,7-0 | 6-30 | 5-34 | 0-41 | 1-51 | 9-53 | 2-63 | 3-78 | 8-83 | 4-132
10,5-0-75 0-5-75 9-2-94 2-9-94 8-0-83 0-8-83 6-4-2 4-6-2 0-9-26 9-0-26 2-7-86 7-2-86 9-6-63 6-9-63 5-7-64 7-5-64 7-5-50 5-7-50 5-0-95 0-5-95 4-6-65 6-4-65 9-3-39 3-9-39 5-2-88 2-5-88 0-8-98 8-0-98 6-5-44 5-6-44,7,125 inf 86 190 96 50 94 0 208 151,7-0 | 5-50 | 2-86 | 6-94 | 4-96 | 0-125 | 9-151 | 3-190 | 8-208
10,8-4-2 4-8-2 7-6-87 6-7-87 0-3-92 3-0-92 5-4-14 4-5-14 7-9-55 9-7-55 7-8-18 8-7-18 4-5-91 5-4-91 8-9-46 9-8-46 6-7-90 7-6-90 3-9-87 9-3-87 5-2-66 2-5-66 9-4-31 4-9-31 3-6-20 6-3-20 4-0-99 0-4-99 4-1-38 1-4-38,6,112 145 187 20 107 121 0 87 105 107,6-0 | 3-20 | 7-87 | 8-105 | 4-107 | 9-107 | 0-112 | 5-121 | 1-145 | 2-187
10,8-5-71 5-8-71 4-3-91 3-4-91 6-4-3 4-6-3 8-4-26 4-8-26 8-6-89 6-8-89 1-8-58 8-1-58 1-2-36 2-1-36 7-6-94 6-7-94 0-9-65 9-0-65 3-0-7 0-3-7 5-1-39 1-5-39 2-0-10 0-2-10 8-4-75 4-8-75 6-9-41 9-6-41 7-1-42 1-7-42,0,0 46 10 7 98 85 101 88 104 65,0-0 | 3-7 | 2-10 | 1-46 | 9-65 | 5-85 | 7-88 | 4-98 | 6-101 | 8-104
10,1-9-33 9-1-33 3-6-79 6-3-79 2-0-66 0-2-66 9-0-11 0-9-11 2-6-51 6-2-51 9-1-38 1-9-38 2-5-44 5-2-44 4-7-64 7-4-64 6-4-7 4-6-7 8-7-50 7-8-50 9-5-52 5-9-52 5-0-7 0-5-7 8-6-21 6-8-21 8-0-30 0-8-30 8-3-88 3-8-88,4,58 102 58 86 0 65 7 64 28 69,4-0 | 6-7 | 8-28 | 0-58 | 2-58 | 7-64 | 5-65 | 9-69 | 3-86 | 1-102
10,7-1-44 1-7-44 4-2-8 2-4-8 1-8-32 8-1-32 1-8-67 8-1-67 3-9-93 9-3-93 8-4-85 4-8-85 2-0-37 0-2-37 1-7-12 7-1-12 1-5-37 5-1-37 2-1-18 1-2-18 3-1-30 1-3-30 3-2-89 2-3-89 5-4-42 4-5-42 6-2-33 2-6-33 6-9-100 9-6-100,2,37 18 0 48 8 50 33 30 50 133,2-0 | 4-8 | 1-18 | 7-30 | 6-33 | 0-37 | 3-48 | 5-50 | 8-50 | 9-133
10,8-9-76 9-8-76 8-3-95 3-8-95 5-6-47 6-5-47 3-4-46 4-3-46 1-7-78 7-1-78 3-4-73 4-3-73 3-2-69 2-3-69 5-1-77 1-5-77 4-1-74 1-4-74 2-0-94 0-2-94 8-2-61 2-8-61 9-8-9 8-9-9 0-5-33 5-0-33 3-1-70 1-3-70 1-5-22 5-1-22,4,129 74 115 46 0 96 143 152 141 150,4-0 | 3-46 | 1-74 | 5-96 | 2-115 | 0-129 | 8-141 | 6-143 | 9-150 | 7-152
10,5-7-64 7-5-64 1-8-27 8-1-27 7-5-57 5-7-57 4-8-100 8-4-100 5-0-49 0-5-49 7-0-19 0-7-19 6-1-1 1-6-1 2-8-30 8-2-30 2-0-60 0-2-60 6-3-87 3-6-87 2-5-75 5-2-75 1-8-42 8-1-42 5-4-27 4-5-27 9-1-64 1-9-64 4-0-61 0-4-61,9,181 64 121 152 191 196 65 200 91 0,9-0 | 1-64 | 6-65 | 8-91 | 2-121 | 3-152 | 0-181 | 4-191 | 5-196 | 7-200
10,0-9-40 9-0-40 8-4-70 4-8-70 0-2-39 2-0-39 1-8-45 8-1-45 5-3-32 3-5-32 8-2-51 2-8-51 9-4-27 4-9-27 4-5-85 5-4-85 5-2-8 2-5-8 8-4-78 4-8-78 2-7-29 7-2-29 0-4-14 4-0-14 4-1-90 1-4-90 8-2-27 2-8-27 0-1-85 1-0-85,8,66 45 27 67 70 35 inf 56 0 97,8-0 | 2-27 | 5-35 | 1-45 | 7-56 | 0-66 | 3-67 | 4-70 | 9-97
10,3-8-67 8-3-67 8-9-3 9-8-3 3-2-86 2-3-86 3-0-17 0-3-17 0-1-34 1-0-34 0-1-9 1-0-9 0-4-8 4-0-8 2-9-16 9-2-16 2-6-51 6-2-51 0-2-28 2-0-28 0-4-13 4-0-13 5-0-49 0-5-49 1-9-66 9-1-66 3-2-58 2-3-58 7-2-18 2-7-18,2,28 37 0 45 36 77 51 18 19 16,2-0 | 9-16 | 7-18 | 8-19 | 0-28 | 4-36 | 1-37 | 3-45 | 6-51 | 5-77
10,9-3-38 3-9-38 6-5-33 5-6-33 0-2-6 2-0-6 0-6-100 6-0-100 4-0-79 0-4-79 6-8-87 8-6-87 1-4-60 4-1-60 4-3-79 3-4-79 4-3-14 3-4-14 2-7-11 7-2-11 5-4-32 4-5-32 1-2-1 2-1-1 1-7-70 7-1-70 6-9-89 9-6-89 0-4-85 4-0-85,6,100 107 106 79 65 33 0 117 87 89,6-0 | 5-33 | 4-65 | 3-79 | 8-87 | 9-89 | 0-100 | 2-106 | 1-107 | 7-117
10,6-5-65 5-6-65 6-5-37 5-6-37 7-6-93 6-7-93 5-3-62 3-5-62 9-1-68 1-9-68 8-2-56 2-8-56 5-4-23 4-5-23 4-9-16 9-4-16 5-4-95 4-5-95 8-2-43 2-8-43 5-0-3 0-5-3 5-0-60 0-5-60 9-2-58 2-9-58 7-3-79 3-7-79 3-1-23 1-3-23,3,65 23 149 0 85 62 99 79 192 91,3-0 | 1-23 | 5-62 | 0-65 | 7-79 | 4-85 | 9-91 | 6-99 | 2-149 | 8-192
